StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Pencil Control,Conf. Pencil Control,Magazine Standard,Conf. Mag. Stand.,Magazine_Control,Conf. Mag. Control,Pencil_Standard,Conf. Pencil Stand.,Q10,FL_42_DO,FL_39_DO,FL_43_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"A
pencil and an eraser cost $1.10 in total. The pencil costs 1 dollar. How much
does the eraser cost? _____________cents",Indicate how confident you are that your response was correct by writing down a number between 0 (totally not sure) and 100 (totally sure).,A magazine and a banana cost $2.90 in total. The magazine costs 2 dollars more than the banana. How much does the banana cost? _____________cents,"Indicate how confident you are that your response was correct by writing 
down a number between 0 (totally not sure) and 100 (totally sure).",A magazine and a banana cost $2.90 in total. The magazine costs 2 dollars. How much does the banana cost? _____________cents,"Indicate how confident you are that your response was correct by writing 
down a number between 0 (totally not sure) and 100 (totally sure).",A pencil and an eraser cost $1.10. The pencil costs 1 dollar more than the eraser. How much does the eraser cost? _____________cents,Indicate how confident you are that your response was correct by writing down a number between 0 (totally not sure) and 100 (totally sure).,Have you seen or heard about problems like these before?,FL_42 - Block Randomizer - Display Order,FL_39 - Block Randomizer - Display Order,FL_43 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""FL_42_DO""}","{""ImportId"":""FL_39_DO""}","{""ImportId"":""FL_43_DO""}"
2024-09-26 08:38:46,2024-09-26 08:39:31,Survey Preview,100,44,True,2024-09-26 08:39:31,R_7BwUj4OyUIrA242,preview,EN,10,90,90,80,,,,,,FL_39,PencilControl|MagazineStandard,
2024-09-26 08:39:37,2024-09-26 08:40:00,Survey Preview,100,22,True,2024-09-26 08:40:00,R_734tMobZbkE1OmG,preview,EN,10,90,90,80,,,,,,FL_39,MagazineStandard|PencilControl,
2024-09-26 08:40:06,2024-09-26 08:40:25,Survey Preview,100,19,True,2024-09-26 08:40:26,R_7Likj0Je36bxZk1,preview,EN,,,,,80,90,10,80,,FL_43,,PencilStandard|MagazineControl
2024-09-26 08:40:32,2024-09-26 08:40:50,Survey Preview,100,17,True,2024-09-26 08:40:50,R_7imLtLQmHgnkvPH,preview,EN,10,90,90,90,,,,,,FL_39,MagazineStandard|PencilControl,
2024-09-26 08:53:24,2024-09-26 08:53:38,Survey Preview,100,14,True,2024-09-26 08:53:39,R_78LKYUEQL3k55lm,preview,EN,2,2,2,2,,,,,No,FL_39,MagazineStandard|PencilControl,
2024-09-30 12:13:31,2024-09-30 12:14:17,IP Address,100,46,True,2024-09-30 12:14:18,R_5R9cvvcJ5vFulLe,anonymous,EN,,,,,90,100,,,Maybe,FL_43,,BL_3ymTJ3ZOZWWbWGa|MagazineControl
2024-09-30 12:13:49,2024-09-30 12:14:33,IP Address,100,44,True,2024-09-30 12:14:34,R_7LbZFfk5l0eIzrn,anonymous,EN,10,100,90,100,,,,,Yes,FL_39,MagazineStandard|PencilControl,
2024-09-30 12:14:10,2024-09-30 12:15:50,IP Address,64,100,False,2024-09-30 12:16:08,R_6Vlui4bh6Zn904U,anonymous,EN,,,,,,,,,,FL_43,,PencilStandard|BL_3ymTJ3ZOZWWbWGa
2024-09-30 12:13:21,2024-09-30 12:14:47,IP Address,73,86,False,2024-09-30 12:16:09,R_7l51hNrlrKiZ8g0,anonymous,EN,10,100,,,,,,,,FL_39,PencilControl|MagazineStandard,
2024-09-30 12:13:40,2024-09-30 12:14:59,IP Address,73,79,False,2024-09-30 12:16:09,R_3q9rdhwTuFM3US4,anonymous,EN,,,,,90,88,,,,FL_43,,MagazineControl|PencilStandard
2024-09-30 12:13:29,2024-09-30 12:15:57,IP Address,64,147,False,2024-09-30 12:16:10,R_3AXSvVtXBO8aLWp,anonymous,EN,,,,,,,,,,FL_43,,BL_3ymTJ3ZOZWWbWGa|PencilStandard
2024-09-30 11:53:42,2024-09-30 11:53:56,IP Address,73,14,False,2024-09-30 12:16:10,R_3FKbvC2kDZCftDJ,anonymous,EN,,,,,.3,20%,,,,FL_43,,MagazineControl|PencilStandard
2024-09-30 12:13:29,2024-09-30 12:14:44,IP Address,73,74,False,2024-09-30 12:16:10,R_7Diuy1xaAmv7ad6,anonymous,EN,,,,,,,,,Yes,FL_43,,BL_3ymTJ3ZOZWWbWGa|MagazineControl
2024-09-30 12:13:29,2024-09-30 12:14:37,IP Address,55,67,False,2024-09-30 12:16:11,R_1EibP5yW1CSm16w,anonymous,EN,,,,,,,,,,FL_39,PencilControl|MagazineStandard,
2024-09-30 12:13:27,2024-09-30 12:14:47,IP Address,55,80,False,2024-09-30 12:16:12,R_8LCEhhdrv1wbr28,anonymous,EN,,,,,,,,,,FL_39,PencilControl|MagazineStandard,
2024-09-30 12:14:27,2024-09-30 12:15:08,IP Address,55,40,False,2024-09-30 12:16:13,R_5KPWVJM45Ecd8Iu,anonymous,EN,,,,,,,,,,FL_43,,MagazineControl|PencilStandard
2024-09-30 12:13:26,2024-09-30 12:16:08,IP Address,64,162,False,2024-09-30 12:16:23,R_3aqUmwROl4g8Nzr,anonymous,EN,10,,,,,,,,,FL_39,PencilControl|MagazineStandard,
2024-09-30 12:16:32,2024-09-30 12:17:04,IP Address,100,31,True,2024-09-30 12:17:04,R_15FyEMBbNwEXgB1,anonymous,EN,10,100,45,100,,,,,Yes,FL_39,MagazineStandard|PencilControl,
2024-09-30 12:16:38,2024-09-30 12:17:13,IP Address,100,35,True,2024-09-30 12:17:14,R_3Fs30khuUhJ9Q43,anonymous,EN,,,,,90,100,10,90,Maybe,FL_43,,PencilStandard|MagazineControl
2024-09-30 12:16:40,2024-09-30 12:17:15,IP Address,100,35,True,2024-09-30 12:17:16,R_6j9h9CeyOAxYNCR,anonymous,EN,,,,,0.90,75,0.05,75,Yes,FL_43,,MagazineControl|PencilStandard
2024-09-30 12:16:38,2024-09-30 12:17:18,IP Address,100,39,True,2024-09-30 12:17:18,R_7fD0XwVS010KjZf,anonymous,EN,,,,,90,100,10,100,Maybe,FL_43,,PencilStandard|MagazineControl
2024-09-30 12:16:35,2024-09-30 12:17:20,IP Address,100,45,True,2024-09-30 12:17:21,R_7PuX7t6ScsmTetV,anonymous,EN,,,,,90,100,"10 ",100,Yes,FL_43,,PencilStandard|MagazineControl
2024-09-30 12:16:37,2024-09-30 12:17:27,IP Address,100,50,True,2024-09-30 12:17:28,R_1E3RnX5eC0YwAkN,anonymous,EN,10,100,45 cents,100,,,,,Yes,FL_39,MagazineStandard|PencilControl,
2024-09-30 12:16:29,2024-09-30 12:17:35,IP Address,100,66,True,2024-09-30 12:17:36,R_12Ekl4iOSy2GKcw,anonymous,EN,10,100,90,100,,,,,Maybe,FL_39,MagazineStandard|PencilControl,
2024-09-30 12:16:34,2024-09-30 12:17:43,IP Address,100,68,True,2024-09-30 12:17:44,R_1WUVktlU1pC1v2m,anonymous,EN,,,,,90,100,10,100,No,FL_43,,MagazineControl|PencilStandard
2024-09-30 12:17:12,2024-09-30 12:17:45,IP Address,100,33,True,2024-09-30 12:17:45,R_3HSIBKN4q86ZvwN,anonymous,EN,10 cents,90%,.90,90%,,,,,Yes,FL_39,PencilControl|MagazineStandard,
2024-09-30 12:16:38,2024-09-30 12:17:48,IP Address,100,70,True,2024-09-30 12:17:48,R_3HXCGfCym8uQ4VX,anonymous,EN,,,,,90,100,$0.05,100,Yes,FL_43,,PencilStandard|MagazineControl
