date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-16,WT0001R2,control,F,ACN,1,3,16,0,2
2023-07-16,WT0001R2,control,F,ACN,2,3,18,0,2
2023-07-16,WT0001R2,control,F,ACN,3,3,18,0,1
2023-07-16,WT0001R2,control,F,ACN,4,3,14,0,2
2023-07-16,WT0001R2,control,F,ACN,5,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,6,3,12,0,2
2023-07-16,WT0001R2,control,F,ACN,7,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,8,3,14,0,2
2023-07-16,WT0001R2,control,F,ACN,9,3,12,0,1
2023-07-16,WT0001R2,control,F,ACN,10,3,18,0,2
2023-07-16,WT0001R2,control,F,ACN,11,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,12,3,20,0,1
2023-07-16,WT0001R2,control,F,ACN,13,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,14,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,15,3,20,0,2
2023-07-16,WT0001R2,control,F,ACN,16,3,10,0,1
2023-07-16,WT0001R2,control,F,ACN,17,3,18,0,1
2023-07-16,WT0001R2,control,F,ACN,18,3,20,0,1
2023-07-16,WT0001R2,control,F,ACN,19,3,12,0,1
2023-07-16,WT0001R2,control,F,ACN,20,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,21,3,14,0,1
2023-07-16,WT0001R2,control,F,ACN,22,3,12,0,1
2023-07-16,WT0001R2,control,F,ACN,23,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,24,3,18,0,1
2023-07-16,WT0001R2,control,F,ACN,25,3,18,0,1
2023-07-16,WT0001R2,control,F,ACN,26,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,27,3,14,0,1
2023-07-16,WT0001R2,control,F,ACN,28,3,12,0,1
2023-07-16,WT0001R2,control,F,ACN,29,3,18,0,1
2023-07-16,WT0001R2,control,F,ACN,30,3,14,0,1
2023-07-16,WT0001R2,control,F,ACN,31,3,16,0,1
2023-07-16,WT0001R2,control,F,ACN,32,3,22,0,0
2023-07-16,WT0001R2,control,F,ACN,33,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,34,3,10,0,1
2023-07-16,WT0001R2,control,F,ACN,35,3,10,0,1
2023-07-16,WT0001R2,control,F,ACN,36,3,10,0,1
2023-07-16,WT0001R2,control,F,ACN,37,3,12,0,1
2023-07-16,WT0001R2,control,F,ACN,38,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,39,3,12,0,2
2023-07-16,WT0001R2,control,F,ACN,40,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,41,3,20,0,2
2023-07-16,WT0001R2,control,F,ACN,42,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,43,3,20,0,2
2023-07-16,WT0001R2,control,F,ACN,44,3,22,0,2
2023-07-16,WT0001R2,control,F,ACN,45,3,18,0,2
2023-07-16,WT0001R2,control,F,ACN,46,3,20,0,1
