date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-19,WT0002LR,control,M,JHO,1,1,10,0,1
2023-07-19,WT0002LR,control,M,JHO,2,3,18,0,1
2023-07-19,WT0002LR,control,M,JHO,3,3,14,0,1
2023-07-19,WT0002LR,control,M,JHO,4,3,10,0,1
2023-07-19,WT0002LR,control,M,JHO,5,5,16,0,1
2023-07-19,WT0002LR,control,M,JHO,6,2,18,0,1
2023-07-19,WT0002LR,control,M,JHO,7,3,18,0,2
2023-07-19,WT0002LR,control,M,JHO,8,3,12,0,1
2023-07-19,WT0002LR,control,M,JHO,9,3,10,0,1
2023-07-19,WT0002LR,control,M,JHO,10,1,20,0,1
2023-07-19,WT0002LR,control,M,JHO,11,3,10,0,1
2023-07-19,WT0002LR,control,M,JHO,12,3,20,0,1
2023-07-19,WT0002LR,control,M,JHO,13,3,20,0,1
2023-07-19,WT0002LR,control,M,JHO,14,3,20,0,1
2023-07-19,WT0002LR,control,M,JHO,15,3,16,0,1
2023-07-19,WT0002LR,control,M,JHO,16,3,18,0,1
2023-07-19,WT0002LR,control,M,JHO,17,3,18,0,1
2023-07-19,WT0002LR,control,M,JHO,18,2,12,0,1
2023-07-19,WT0002LR,control,M,JHO,19,1,16,0,2
2023-07-19,WT0002LR,control,M,JHO,20,3,10,0,1
2023-07-19,WT0002LR,control,M,JHO,21,2,14,0,1
2023-07-19,WT0002LR,control,M,JHO,22,3,16,0,2
2023-07-19,WT0002LR,control,M,JHO,23,3,20,0,2
2023-07-19,WT0002LR,control,M,JHO,24,3,20,0,1
2023-07-19,WT0002LR,control,M,JHO,25,3,12,0,1
2023-07-19,WT0002LR,control,M,JHO,26,5,14,0,2
2023-07-19,WT0002LR,control,M,JHO,27,3,14,0,2
2023-07-19,WT0002LR,control,M,JHO,28,3,20,0,2
2023-07-19,WT0002LR,control,M,JHO,29,3,10,0,1
2023-07-19,WT0002LR,control,M,JHO,30,3,16,0,1
2023-07-19,WT0002LR,control,M,JHO,31,1,16,0,2
2023-07-19,WT0002LR,control,M,JHO,32,3,12,0,1
2023-07-19,WT0002LR,control,M,JHO,33,2,10,0,1
2023-07-19,WT0002LR,control,M,JHO,34,3,14,0,2
2023-07-19,WT0002LR,control,M,JHO,35,3,18,0,2
2023-07-19,WT0002LR,control,M,JHO,36,3,20,0,2
2023-07-19,WT0002LR,control,M,JHO,37,3,20,0,2
2023-07-19,WT0002LR,control,M,JHO,38,4,20,0,2
2023-07-19,WT0002LR,control,M,JHO,39,3,16,0,2
2023-07-19,WT0002LR,control,M,JHO,40,1,14,0,2
