"","X","no_categories","Participant","Code","group_name"
"1",1,11,"8",100,"eng_mono"
"2",2,6,"7",112,"south_asian"
"3",3,6,"1",101,"non_asian_multi"
"4",4,13,"9",100,"eng_mono"
"5",5,7,"10",100,"eng_mono"
"6",6,15,"11",100,"eng_mono"
"7",7,4,"12",101,"non_asian_multi"
"8",8,10,"13",100,"eng_mono"
"9",9,12,"14",100,"eng_mono"
"10",10,12,"15",100,"eng_mono"
"11",11,7,"16",100,"eng_mono"
"12",12,10,"17",100,"eng_mono"
"13",13,9,"18",101,"non_asian_multi"
"14",14,4,"19",100,"eng_mono"
"15",15,9,"2",101,"non_asian_multi"
"16",16,12,"20",101,"non_asian_multi"
"17",17,8,"23",101,"non_asian_multi"
"18",18,7,"25",100,"eng_mono"
"19",19,6,"26",111,"east_asian"
"20",20,8,"27",111,"east_asian"
"21",21,13,"28",100,"eng_mono"
"22",22,12,"29",100,"eng_mono"
"23",23,11,"3",111,"east_asian"
"24",24,7,"30",112,"south_asian"
"25",25,8,"31",100,"eng_mono"
"26",26,13,"32",111,"east_asian"
"27",27,9,"33",100,"eng_mono"
"28",28,10,"34",112,"south_asian"
"29",29,10,"35",100,"eng_mono"
"30",30,11,"36",100,"eng_mono"
"31",31,10,"37",113,"se_asian"
"32",32,9,"38",101,"non_asian_multi"
"33",33,8,"4",111,"east_asian"
"34",34,15,"40",100,"eng_mono"
"35",35,10,"41",100,"eng_mono"
"36",36,7,"42",101,"non_asian_multi"
"37",37,10,"43",100,"eng_mono"
"38",38,13,"44",100,"eng_mono"
"39",39,8,"45",101,"non_asian_multi"
"40",40,11,"46",100,"eng_mono"
"41",41,9,"47",100,"eng_mono"
"42",42,9,"48",100,"eng_mono"
"43",43,9,"49",100,"eng_mono"
"44",44,13,"5",101,"non_asian_multi"
"45",45,4,"50",101,"non_asian_multi"
"46",46,10,"51",100,"eng_mono"
"47",47,15,"52",100,"eng_mono"
"48",48,8,"53",112,"south_asian"
"49",49,15,"54",100,"eng_mono"
"50",50,9,"55",100,"eng_mono"
"51",51,12,"56",100,"eng_mono"
"52",52,15,"58",101,"non_asian_multi"
"53",53,12,"59",100,"eng_mono"
"54",54,13,"6",111,"east_asian"
"55",55,9,"78",100,"eng_mono"
"56",56,11,"87",112,"south_asian"
"57",57,10,"90",100,"eng_mono"
"58",58,11,"91",101,"non_asian_multi"
"59",59,7,"96",100,"eng_mono"
"60",60,7,"105",100,"eng_mono"
"61",61,11,"110",101,"non_asian_multi"
"62",62,9,"111",111,"east_asian"
"63",63,12,"115",101,"non_asian_multi"
"64",64,10,"121",101,"non_asian_multi"
"65",65,10,"123",100,"eng_mono"
"66",66,10,"125",100,"eng_mono"
"67",67,9,"129",111,"east_asian"
"68",68,10,"132",101,"non_asian_multi"
"69",69,7,"133",100,"eng_mono"
