qualtrics_id,PD_familiarity,task,item,response,strength,choice,preference_type
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",PD,amusement,Definitely Program A,Definitely,A,proportion
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",PD,recession,Slight preference for Program B,Slight,B,proportion
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",PD,plants,Slight Preference for Program A,Slight,A,proportion
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",PD,oil,Slight preference for Program B,Slight,B,proportion
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",PD,paper,Slight preference for Program A,Slight,A,proportion
R_3NV67BeT8swOBOf,No,PD,amusement,Definitely Program B,Definitely,B,absolute
R_3NV67BeT8swOBOf,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_3NV67BeT8swOBOf,No,PD,plants,Definitely Program B,Definitely,B,absolute
R_3NV67BeT8swOBOf,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3NV67BeT8swOBOf,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_2dlRKzx851f1Yd9,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_2dlRKzx851f1Yd9,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_2dlRKzx851f1Yd9,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_2dlRKzx851f1Yd9,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_2dlRKzx851f1Yd9,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_3Mm44PUN5bz3OjI,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_3Mm44PUN5bz3OjI,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_3Mm44PUN5bz3OjI,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_3Mm44PUN5bz3OjI,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3Mm44PUN5bz3OjI,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_3kiI8D41vqe0qhI,No,PD,amusement,Definitely Program B,Definitely,B,absolute
R_3kiI8D41vqe0qhI,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_3kiI8D41vqe0qhI,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3kiI8D41vqe0qhI,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3kiI8D41vqe0qhI,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_0SrX3uRtXaupbhv,No,PD,amusement,Definitely Program B,Definitely,B,absolute
R_0SrX3uRtXaupbhv,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_0SrX3uRtXaupbhv,No,PD,plants,Definitely Program B,Definitely,B,absolute
R_0SrX3uRtXaupbhv,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_0SrX3uRtXaupbhv,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_1jE3EICtKRqcSDb,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_1jE3EICtKRqcSDb,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_1jE3EICtKRqcSDb,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_1jE3EICtKRqcSDb,No,PD,oil,Slight preference for Program A,Slight,A,absolute
R_1jE3EICtKRqcSDb,No,PD,paper,Definitely Program A,Definitely,A,proportion
