qualtrics_id,sub_type,item_number,rev_scoring,response,scored_response
R_1lnLF0rQ3biXSbK,RE,1,neg,2,4
R_1lnLF0rQ3biXSbK,RA,1,neg,4,2
R_1lnLF0rQ3biXSbK,RE,2,NA,3,3
R_1lnLF0rQ3biXSbK,RA,2,neg,3,3
R_1lnLF0rQ3biXSbK,RE,3,neg,2,4
R_1lnLF0rQ3biXSbK,RE,4,NA,2,2
R_1lnLF0rQ3biXSbK,RE,5,neg,2,4
R_1lnLF0rQ3biXSbK,RA,3,neg,2,4
R_1lnLF0rQ3biXSbK,RA,4,neg,2,4
R_1lnLF0rQ3biXSbK,RE,6,NA,2,2
R_1lnLF0rQ3biXSbK,RE,7,neg,4,2
R_1lnLF0rQ3biXSbK,RA,5,neg,4,2
R_1lnLF0rQ3biXSbK,RA,6,NA,3,3
R_1lnLF0rQ3biXSbK,RA,7,NA,3,3
R_1lnLF0rQ3biXSbK,RE,8,NA,4,4
R_1lnLF0rQ3biXSbK,RA,8,NA,3,3
R_1lnLF0rQ3biXSbK,RA,9,NA,3,3
R_1lnLF0rQ3biXSbK,RE,9,neg,4,2
R_1lnLF0rQ3biXSbK,RA,10,NA,NA,NA
R_1lnLF0rQ3biXSbK,RE,10,NA,4,4
R_1lnLF0rQ3biXSbK,EE,1,NA,3,3
R_1lnLF0rQ3biXSbK,EA,1,neg,3,3
R_1lnLF0rQ3biXSbK,EA,2,NA,3,3
R_1lnLF0rQ3biXSbK,EA,3,NA,3,3
R_1lnLF0rQ3biXSbK,EE,2,NA,4,4
R_1lnLF0rQ3biXSbK,EE,3,NA,3,3
R_1lnLF0rQ3biXSbK,EA,4,NA,4,4
R_1lnLF0rQ3biXSbK,EA,5,NA,3,3
R_1lnLF0rQ3biXSbK,EA,6,neg,2,4
R_1lnLF0rQ3biXSbK,EE,4,neg,4,2
R_1lnLF0rQ3biXSbK,EE,5,NA,4,4
R_1lnLF0rQ3biXSbK,EE,6,neg,3,3
R_1lnLF0rQ3biXSbK,EE,7,neg,4,2
R_1lnLF0rQ3biXSbK,EE,8,neg,3,3
R_1lnLF0rQ3biXSbK,EA,7,NA,2,2
R_1lnLF0rQ3biXSbK,EE,9,neg,3,3
R_1lnLF0rQ3biXSbK,EA,8,neg,3,3
R_1lnLF0rQ3biXSbK,EE,10,NA,4,4
R_1lnLF0rQ3biXSbK,EA,9,NA,3,3
R_1lnLF0rQ3biXSbK,EA,10,neg,2,4
R_3NV67BeT8swOBOf,RE,1,neg,Strongly Disagree,5
