qualtrics_id,DeNeys_familiarity,task,item,strength,choice,preference_type
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_3NV67BeT8swOBOf,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_3NV67BeT8swOBOf,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_2dlRKzx851f1Yd9,No,DeNeys,gender,maybe,man,description
R_2dlRKzx851f1Yd9,No,DeNeys,age,definitely,sixteen,description
R_3Mm44PUN5bz3OjI,No,DeNeys,gender,maybe,man,description
R_3Mm44PUN5bz3OjI,No,DeNeys,age,definitely,sixteen,description
R_3kiI8D41vqe0qhI,No,DeNeys,gender,definitely,woman,distribution
R_3kiI8D41vqe0qhI,No,DeNeys,age,maybe,sixteen,description
R_0SrX3uRtXaupbhv,No,DeNeys,gender,definitely,man,description
R_0SrX3uRtXaupbhv,No,DeNeys,age,definitely,sixteen,description
R_1jE3EICtKRqcSDb,No,DeNeys,gender,maybe,man,description
R_1jE3EICtKRqcSDb,No,DeNeys,age,maybe,sixteen,description
R_u4J8rwDfOmm4gYV,No,DeNeys,gender,maybe,woman,distribution
R_u4J8rwDfOmm4gYV,No,DeNeys,age,maybe,sixteen,description
R_1F9e3CRe4Tb8JhE,No,DeNeys,gender,definitely,man,description
R_1F9e3CRe4Tb8JhE,No,DeNeys,age,definitely,sixteen,description
R_Qb1tzaskoeU0kLf,No,DeNeys,gender,maybe,woman,distribution
R_Qb1tzaskoeU0kLf,No,DeNeys,age,maybe,forty,distribution
R_1rkpS180enmUysj,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_1rkpS180enmUysj,"I'm not sure, maybe",DeNeys,age,maybe,forty,distribution
R_2EE1eoKCYITmD0x,No,DeNeys,gender,maybe,woman,distribution
R_2EE1eoKCYITmD0x,No,DeNeys,age,definitely,sixteen,description
R_2cbkPzQkCJBHWyP,Yes,DeNeys,gender,maybe,woman,distribution
R_2cbkPzQkCJBHWyP,Yes,DeNeys,age,maybe,forty,distribution
R_1jTzy25ZCEPdmH8,No,DeNeys,gender,definitely,man,description
R_1jTzy25ZCEPdmH8,No,DeNeys,age,definitely,sixteen,description
R_tFgpQ636MClxHSV,No,DeNeys,gender,maybe,man,description
R_tFgpQ636MClxHSV,No,DeNeys,age,maybe,sixteen,description
R_8AGSWBQpPasvjmp,No,DeNeys,gender,maybe,woman,distribution
R_8AGSWBQpPasvjmp,No,DeNeys,age,maybe,sixteen,description
R_1lid60axyi9vYiM,No,DeNeys,gender,maybe,woman,distribution
R_1lid60axyi9vYiM,No,DeNeys,age,maybe,forty,distribution
R_1gdWv5GX938t7rt,No,DeNeys,gender,maybe,woman,distribution
R_1gdWv5GX938t7rt,No,DeNeys,age,maybe,forty,distribution
R_2Yhxe1EG3CUlYJK,No,DeNeys,gender,maybe,woman,distribution
R_2Yhxe1EG3CUlYJK,No,DeNeys,age,maybe,forty,distribution
R_1Tv8RlXGXRDH6BX,No,DeNeys,gender,definitely,man,description
R_1Tv8RlXGXRDH6BX,No,DeNeys,age,maybe,sixteen,description
R_2Vsg4M2YZmMyKjz,Yes,DeNeys,gender,maybe,man,description
R_2Vsg4M2YZmMyKjz,Yes,DeNeys,age,maybe,forty,distribution
R_2zJceBDE6LOaCWz,No,DeNeys,gender,maybe,man,description
R_2zJceBDE6LOaCWz,No,DeNeys,age,maybe,sixteen,description
R_stJitSzH6fcoJQl,No,DeNeys,gender,maybe,man,description
R_stJitSzH6fcoJQl,No,DeNeys,age,definitely,sixteen,description
R_3KGtFOTeQp59TIC,No,DeNeys,gender,maybe,man,description
R_3KGtFOTeQp59TIC,No,DeNeys,age,maybe,sixteen,description
R_2BmMaK6qZ72JwUo,No,DeNeys,gender,definitely,man,description
R_2BmMaK6qZ72JwUo,No,DeNeys,age,definitely,sixteen,description
R_3MGMh9Sgp0iytxz,No,DeNeys,gender,maybe,woman,distribution
R_3MGMh9Sgp0iytxz,No,DeNeys,age,maybe,sixteen,description
R_3nNkwMznbY5izlu,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_3nNkwMznbY5izlu,"I'm not sure, maybe",DeNeys,age,maybe,forty,distribution
